date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,outcome,days_ago,home_team_norm,away_team_norm
1939-03-19,Belgium,Netherlands,5,4,Friendly,Antwerp,Belgium,False,H,0,31870,Belgium,Netherlands
1939-03-19,Haiti,Panama,1,1,Friendly,Port-au-Prince,Haiti,False,D,1,31870,Haiti,Panama
1939-03-19,Republic of Ireland,Hungary,2,2,Friendly,Cork,Éire,False,D,1,31870,Republic of Ireland,Hungary
1939-03-24,Haiti,Panama,3,0,Friendly,Port-au-Prince,Haiti,False,H,0,31865,Haiti,Panama
1939-03-26,Italy,Germany,3,2,Friendly,Florence,Italy,False,H,0,31863,Italy,Germany
1939-03-26,Luxembourg,Germany,2,1,Friendly,Differdange,Luxembourg,False,H,0,31863,Luxembourg,Germany
1939-04-02,Switzerland,Hungary,3,1,Friendly,Zürich,Switzerland,False,H,0,31856,Switzerland,Hungary
1939-04-15,Scotland,England,1,2,British Home Championship,Glasgow,Scotland,False,A,2,31843,Scotland,England
1939-04-20,Jersey,Alderney,2,1,Muratti Vase,Jersey,Jersey,False,H,0,31838,Jersey,Alderney
1939-04-23,Brittany,Luxembourg,3,1,Friendly,Brest,France,False,H,0,31835,Brittany,Luxembourg
1939-04-23,Netherlands,Belgium,3,2,Friendly,Amsterdam,Netherlands,False,H,0,31835,Netherlands,Belgium
1939-05-04,Guernsey,Jersey,0,1,Muratti Vase,Guernsey,Guernsey,False,A,2,31824,Guernsey,Jersey
1939-05-07,Romania,Yugoslavia,1,0,Friendly,Bucharest,Romania,False,H,0,31821,Romania,Yugoslavia
1939-05-07,Switzerland,Netherlands,2,1,Friendly,Bern,Switzerland,False,H,0,31821,Switzerland,Netherlands
1939-05-13,Italy,England,2,2,Friendly,Milan,Italy,False,D,1,31815,Italy,England
1939-05-14,Belgium,Switzerland,1,2,Friendly,Liège,Belgium,False,A,2,31814,Belgium,Switzerland
1939-05-18,Belgium,France,1,3,Friendly,Brussels,Belgium,False,A,2,31810,Belgium,France
1939-05-18,Hungary,Republic of Ireland,2,2,Friendly,Budapest,Hungary,False,D,1,31810,Hungary,Republic of Ireland
1939-05-18,Romania,Latvia,4,0,Friendly,Bucharest,Romania,False,H,0,31810,Romania,Latvia
1939-05-18,Yugoslavia,England,2,1,Friendly,Belgrade,Yugoslavia,False,H,0,31810,Yugoslavia,England
1939-05-20,France,Wales,2,1,Friendly,Colombes,France,False,H,0,31808,France,Wales
1939-05-23,Germany,Republic of Ireland,1,1,Friendly,Bremen,Germany,False,D,1,31805,Germany,Republic of Ireland
1939-05-24,Romania,England,0,2,Friendly,Bucharest,Romania,False,A,2,31804,Romania,England
1939-05-24,Bulgaria,Latvia,3,0,Friendly,Sofia,Bulgaria,False,H,0,31804,Bulgaria,Latvia
1939-05-27,Poland,Belgium,3,3,Friendly,Łódź,Poland,False,D,1,31801,Poland,Belgium
1939-06-02,Sweden,Norway,3,2,Friendly,Solna,Sweden,False,H,0,31795,Sweden,Norway
1939-06-04,Poland,Switzerland,1,1,Friendly,Warsaw,Poland,False,D,1,31793,Poland,Switzerland
1939-06-04,Yugoslavia,Italy,1,2,Friendly,Belgrade,Yugoslavia,False,A,2,31793,Yugoslavia,Italy
1939-06-08,Hungary,Italy,1,3,Friendly,Budapest,Hungary,False,A,2,31789,Hungary,Italy
1939-06-09,Sweden,Finland,5,1,Nordic Championship,Solna,Sweden,False,H,0,31788,Sweden,Finland
1939-06-11,Romania,Italy,0,1,Friendly,Bucharest,Romania,False,A,2,31786,Romania,Italy
1939-06-11,Sweden,Lithuania,7,0,Friendly,Karlstad,Sweden,False,H,0,31786,Sweden,Lithuania
1939-06-14,Norway,Sweden,1,0,Friendly,Copenhagen,Denmark,True,H,0,31783,Norway,Sweden
1939-06-15,Denmark,Finland,5,0,Friendly,Copenhagen,Denmark,False,H,0,31782,Denmark,Finland
1939-06-18,Denmark,Norway,6,3,Friendly,Copenhagen,Denmark,False,H,0,31779,Denmark,Norway
1939-06-22,Norway,Germany,0,4,Friendly,Oslo,Norway,False,A,2,31775,Norway,Germany
1939-06-25,Denmark,Germany,0,2,Friendly,Copenhagen,Denmark,False,A,2,31772,Denmark,Germany
1939-06-29,Estonia,Germany,0,2,Friendly,Tallinn,Estonia,False,A,2,31768,Estonia,Germany
1939-07-20,Finland,Italy,2,3,Friendly,Helsinki,Finland,False,A,2,31747,Finland,Italy
1939-07-27,Latvia,Estonia,3,3,Friendly,Riga,Latvia,False,D,1,31740,Latvia,Estonia
1939-08-04,Finland,Estonia,4,2,Friendly,Helsinki,Finland,False,H,0,31732,Finland,Estonia
1939-08-06,Panama,Cuba,0,4,Friendly,Panama City,Panama,False,A,2,31730,Panama,Cuba
1939-08-14,Paraguay,Argentina,0,1,Copa Chevallier Boutell,Asunción,Paraguay,False,A,2,31722,Paraguay,Argentina
1939-08-16,Paraguay,Argentina,2,2,Copa Chevallier Boutell,Asunción,Paraguay,False,D,1,31720,Paraguay,Argentina
1939-08-27,Poland,Hungary,4,2,Friendly,Warsaw,Poland,False,H,0,31709,Poland,Hungary
1939-08-27,Slovakia,Germany,2,0,Friendly,Bratislava,Slovakia,False,H,0,31709,Slovakia,Germany
1939-08-27,Czechoslovakia,Yugoslavia,7,3,Friendly,Prague,Bohemia and Moravia,False,H,0,31709,Czechoslovakia,Yugoslavia
1939-08-27,Estonia,Lithuania,0,1,Friendly,Tallinn,Estonia,False,A,2,31709,Estonia,Lithuania
1939-09-02,China,Japan,0,3,Friendly,Xinjing,Manchuria,True,A,2,31703,China,Japan
1939-09-03,Finland,Norway,1,2,Nordic Championship,Helsinki,Finland,False,A,2,31702,Finland,Norway
1939-09-03,Manchukuo,Japan,0,6,Friendly,Xinjing,Manchuria,False,A,2,31702,Manchukuo,Japan
1939-09-17,Denmark,Finland,8,1,Nordic Championship,Copenhagen,Denmark,False,H,0,31688,Denmark,Finland
1939-09-17,Norway,Sweden,2,3,Nordic Championship,Oslo,Norway,False,A,2,31688,Norway,Sweden
1939-09-24,Finland,Latvia,0,3,Friendly,Helsinki,Finland,False,A,2,31681,Finland,Latvia
1939-09-24,Hungary,Germany,5,1,Friendly,Budapest,Hungary,False,H,0,31681,Hungary,Germany
1939-10-01,Sweden,Denmark,4,1,Nordic Championship,Solna,Sweden,False,H,0,31674,Sweden,Denmark
1939-10-15,Yugoslavia,Germany,1,5,Friendly,Zagreb,Yugoslavia,False,A,2,31660,Yugoslavia,Germany
1939-10-22,Denmark,Norway,4,1,Nordic Championship,Copenhagen,Denmark,False,H,0,31653,Denmark,Norway
1939-10-22,Bulgaria,Germany,1,2,Friendly,Sofia,Bulgaria,False,A,2,31653,Bulgaria,Germany
1939-11-12,Czechoslovakia,Austria,4,4,Friendly,Prague,Bohemia and Moravia,False,D,1,31632,Czechoslovakia,Austria
1939-11-12,Germany,Czechoslovakia,4,4,Friendly,Breslau,Germany,False,D,1,31632,Germany,Czechoslovakia
1939-11-12,Switzerland,Italy,3,1,Friendly,Zürich,Switzerland,False,H,0,31632,Switzerland,Italy
1939-11-12,Yugoslavia,Hungary,0,2,Friendly,Belgrade,Yugoslavia,False,A,2,31632,Yugoslavia,Hungary
1939-11-26,Germany,Italy,5,2,Friendly,Berlin,Germany,False,H,0,31618,Germany,Italy
1939-11-28,Uganda,Kenya,5,2,Friendly,Kampala,Uganda,False,H,0,31616,Uganda,Kenya
1939-12-03,Germany,Slovakia,3,1,Friendly,Chemnitz,Germany,False,H,0,31611,Germany,Slovakia
1940-01-28,France,Portugal,3,2,Friendly,Paris,France,False,H,0,31555,France,Portugal
1940-02-18,Argentina,Paraguay,3,1,Copa Chevallier Boutell,Avellaneda,Argentina,False,H,0,31534,Argentina,Paraguay
1940-02-18,Brazil,Argentina,2,2,Copa Roca,São Paulo,Brazil,False,D,1,31534,Brazil,Argentina
1940-02-20,Kenya,Uganda,3,6,Friendly,Nairobi,Kenya,False,A,2,31532,Kenya,Uganda
1940-02-25,Brazil,Argentina,0,3,Copa Roca,São Paulo,Brazil,False,A,2,31527,Brazil,Argentina
1940-02-25,Argentina,Paraguay,4,0,Copa Chevallier Boutell,Buenos Aires,Argentina,False,H,0,31527,Argentina,Paraguay
1940-03-02,Argentina,Chile,4,1,Friendly,San Martín,Argentina,False,H,0,31521,Argentina,Chile
1940-03-03,Italy,Switzerland,1,1,Friendly,Turin,Italy,False,D,1,31520,Italy,Switzerland
1940-03-05,Argentina,Brazil,6,1,Copa Roca,Buenos Aires,Argentina,False,H,0,31518,Argentina,Brazil
1940-03-09,Argentina,Chile,3,2,Friendly,Buenos Aires,Argentina,False,H,0,31514,Argentina,Chile
1940-03-10,Argentina,Brazil,2,3,Copa Roca,Buenos Aires,Argentina,False,A,2,31513,Argentina,Brazil
1940-03-12,Uruguay,Chile,3,2,Friendly,Montevideo,Uruguay,False,H,0,31511,Uruguay,Chile
1940-03-17,Argentina,Brazil,5,1,Copa Roca,Avellaneda,Argentina,False,H,0,31506,Argentina,Brazil
